what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1384228519968
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1384228520140
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1384228520375
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1384228520437
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1384228520468
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1384228520578
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1384228520718
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1384228520718
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1384228520875
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1384228521000
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1384228521640
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1384228521703
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1384228522359
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1384228522859
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1384228522890
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1384228522984
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1384228523125
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1384228523203
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1384228523265
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1384228523515
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1384228523640
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1384228523656
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1384228524781
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1384228524781
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1384228525046
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1384228525187
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1384228525375
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1384228525484
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1384228525750
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1384228525906
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1384228526156
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1384228526187
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1384228526656
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1384228526875
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1384228526921
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1384228527125
os,sysinfo,,,"win32",1384228527125
arch,sysinfo,,,"x86",1384228527125
ws,sysinfo,,,"win32",1384228527125
locale,sysinfo,,,"th_TH",1384228527125
processors,sysinfo,,,"1",1384228527125
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1384228527125
java.runtime.version,sysinfo,,,"1.6.0_32-b05",1384228527125
java.specification.name,sysinfo,,,"Java Platform API Specification",1384228527125
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1384228527125
java.specification.version,sysinfo,,,"1.6",1384228527125
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1384228527125
java.version,sysinfo,,,"1.6.0_32",1384228527125
java.vm.info,sysinfo,,,"mixed mode, sharing",1384228527125
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1384228527125
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1384228527125
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1384228527125
java.vm.specification.version,sysinfo,,,"1.0",1384228527125
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1384228527125
java.vm.version,sysinfo,,,"20.7-b02",1384228527125
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1384228528578
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1384228532281
error,log,,,"Could not instantiate provider org.eclipse.team.svn.core.svnnature for project adempiereLibero.",1384228533125
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384228581078
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384228581843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384228632953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384228634000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384228641609
